발생년,발생월,발생일,발생시,주야,요일,발생지시도,사고유형_대분류,가해자법규위반,도로형태_대분류,가해자_당사자종별,피해자_당사자종별,경도,위도,사상자수
2019,1,13,11,주,일,충남,차량단독,안전운전 의무 불이행,교차로,자전거,없음,126.5707848,36.77307616,1.0
2019,1,13,11,주,일,경기,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,127.303881,37.56474126,1.0
2019,1,13,17,주,일,인천,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,126.7036453,37.49386341,1.0
2019,1,13,18,야,일,전남,차량단독,안전운전 의무 불이행,단일로,농기계,없음,126.2412704,34.48464995,1.0
2019,1,13,21,야,일,인천,차량단독,안전운전 의무 불이행,교차로,승용차,없음,126.6273592,37.45377086,1.0
2019,1,14,0,야,월,경기,차대차,안전운전 의무 불이행,단일로,이륜차,승용차,126.7873097,37.43945759,1.7
2019,1,14,4,야,월,경북,차량단독,안전운전 의무 불이행,교차로,승용차,없음,128.1887123,36.59602187,1.0
2019,1,14,5,야,월,충북,차대차,안전운전 의무 불이행,단일로,화물차,특수차,127.8374699,36.26611192,1.7
2019,1,14,5,야,월,경북,차대차,기타,단일로,화물차,화물차,128.175757,36.15033079,3.4
2019,1,14,7,주,월,경기,차대차,안전운전 의무 불이행,기타,이륜차,건설기계,126.7348428,37.62601356,1.0
2019,1,14,7,주,월,대전,차대차,신호위반,교차로,화물차,자전거,127.3946289,36.43848705,1.0
2019,1,14,11,주,월,강원,차대사람,안전운전 의무 불이행,교차로,승용차,보행자,129.1677949,37.44146514,1.0
2019,1,14,11,주,월,전남,차량단독,안전운전 의무 불이행,단일로,화물차,없음,127.4822464,35.00249613,1.0
2019,1,14,14,주,월,충남,차대차,안전운전 의무 불이행,교차로,승용차,이륜차,127.0995369,36.13339224,1.0
2019,1,14,15,주,월,강원,차량단독,안전운전 의무 불이행,단일로,승용차,없음,128.1811046,37.41429755,1.0
2019,1,14,17,주,월,서울,차대사람,안전운전 의무 불이행,교차로,승용차,보행자,126.8872128,37.48971867,1.0
2019,1,14,17,주,월,경북,차량단독,안전운전 의무 불이행,단일로,사륜오토바이(ATV),없음,129.3002066,36.40626468,1.0
2019,1,14,19,야,월,충남,차량단독,안전운전 의무 불이행,기타,농기계,없음,126.7928221,36.17331917,1.0
2019,1,15,2,야,화,경기,차량단독,안전운전 의무 불이행,단일로,화물차,없음,126.98613,37.03388705,2.0
2019,1,15,4,야,화,대전,차량단독,안전운전 의무 불이행,단일로,승용차,없음,127.4405364,36.32851328,1.0
2019,1,15,7,주,화,경기,차대차,안전운전 의무 불이행,단일로,건설기계,이륜차,126.8617773,37.4772084,1.0
2019,1,15,15,주,화,강원,차량단독,안전운전 의무 불이행,단일로,승용차,없음,127.784857,37.63249516,1.0
2019,1,15,21,야,화,경기,차대차,중앙선 침범,단일로,화물차,승용차,126.9930229,37.16892205,1.6
2019,1,15,22,야,화,충북,차대사람,과속,교차로,승용차,보행자,127.465889,36.64788688,1.0
2019,1,15,23,야,화,충남,차량단독,안전운전 의무 불이행,단일로,승용차,없음,127.1854017,36.85724998,1.0
2019,1,16,4,야,수,서울,차량단독,안전운전 의무 불이행,교차로,승용차,없음,127.0244051,37.54455817,1.0
2019,1,16,4,야,수,부산,차대차,안전운전 의무 불이행,단일로,승용차,승용차,129.1408188,35.35809431,1.6
2019,1,16,6,주,수,경기,차대차,안전운전 의무 불이행,단일로,화물차,화물차,126.7874241,37.59164155,1.3
2019,1,16,9,주,수,전남,차대차,안전운전 의무 불이행,단일로,화물차,화물차,126.6101429,34.86216591,1.0
2019,1,16,9,주,수,경기,차량단독,안전운전 의무 불이행,단일로,이륜차,없음,126.7539251,37.67486135,1.0
2019,1,16,11,주,수,전남,차량단독,기타,단일로,화물차,없음,126.1032614,34.42983297,1.0
2019,1,16,14,주,수,인천,차대사람,안전운전 의무 불이행,교차로,화물차,보행자,126.601872,37.45506713,1.0
2019,1,16,19,야,수,경남,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,128.6563023,35.3048978,1.0
2019,1,16,20,야,수,경남,차대차,안전운전 의무 불이행,단일로,화물차,화물차,128.2829388,34.93347972,1.0
2019,1,16,21,야,수,전남,차량단독,과속,단일로,승용차,없음,127.1324861,34.99810421,1.9
2019,1,16,22,야,수,서울,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,127.0633317,37.50823968,1.0
2019,1,16,22,야,수,제주,차대사람,과속,교차로,승용차,보행자,126.5410808,33.50703839,2.4
2019,1,17,5,야,목,서울,차대사람,과속,교차로,승용차,보행자,127.1497905,37.5317016,1.0
2019,1,17,5,야,목,충남,차대사람,안전운전 의무 불이행,기타,승용차,보행자,127.0552604,36.8439705,1.0
2019,1,17,5,야,목,인천,차대사람,안전운전 의무 불이행,단일로,화물차,보행자,126.7080022,37.45213053,1.0
2019,1,17,7,주,목,경남,차대사람,신호위반,교차로,승용차,보행자,128.1869142,34.9994448,1.0
2019,1,17,8,주,목,경기,차대차,중앙선 침범,단일로,승용차,승용차,127.5281391,37.21920053,1.7
2019,1,17,8,주,목,인천,차대차,안전운전 의무 불이행,단일로,화물차,자전거,126.424629,37.80621407,1.0
2019,1,17,11,주,목,서울,차대차,과속,교차로,승용차,승용차,126.9780449,37.48181733,3.0
2019,1,17,11,주,목,경기,차대사람,중앙선 침범,교차로,승용차,보행자,127.0608188,37.93316058,1.0
2019,1,17,13,주,목,경기,차대사람,보행자 보호의무 위반,교차로,승용차,보행자,126.7368014,37.21307817,1.0
2019,1,17,18,야,목,경기,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,127.1015303,37.35251856,1.0
2019,1,18,0,야,금,서울,차대사람,안전운전 의무 불이행,교차로,승용차,보행자,126.8561816,37.49007643,1.0
2019,1,18,5,야,금,부산,차대사람,과속,교차로,승용차,보행자,129.0914661,35.25793054,1.0
2019,1,18,5,야,금,부산,차대사람,과속,단일로,승용차,보행자,128.9761645,35.1027096,1.0
2019,1,18,6,주,금,인천,차대사람,보행자 보호의무 위반,교차로,화물차,보행자,126.6672316,37.59578496,1.0
2019,1,18,7,주,금,경기,차대차,중앙선 침범,단일로,자전거,승용차,127.5061447,37.24130804,1.0
2019,1,18,10,주,금,서울,차량단독,안전운전 의무 불이행,단일로,이륜차,없음,127.034884,37.63796123,1.6
2019,1,18,10,주,금,충북,차대차,신호위반,교차로,화물차,원동기장치자전거,127.926757,36.96028751,1.0
2019,1,18,12,주,금,충남,차대차,안전거리 미확보,교차로,이륜차,승용차,127.0810862,36.20928566,1.0
2019,1,18,15,주,금,경기,차대사람,보행자 보호의무 위반,교차로,승합차,보행자,127.0109994,37.29295797,1.0
2019,1,18,19,야,금,경북,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,128.2594194,36.16548031,1.0
2019,1,19,6,주,토,경북,차대차,중앙선 침범,단일로,이륜차,승용차,129.2321281,35.88420775,1.0
2019,1,19,7,주,토,서울,차대차,안전거리 미확보,단일로,이륜차,승용차,126.8929196,37.49740965,1.0
2019,1,19,11,주,토,전북,차대차,신호위반,교차로,건설기계,자전거,127.137392,35.82286206,1.0
2019,1,19,11,주,토,전남,차대사람,안전운전 의무 불이행,교차로,승용차,보행자,126.4735008,34.98725577,1.0
2019,1,19,18,야,토,전남,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,127.7045231,34.77069931,1.0
2019,1,19,19,야,토,경기,차대차,기타,교차로,승용차,이륜차,127.0886988,37.01053416,1.0
2019,1,19,19,야,토,충북,차대사람,안전운전 의무 불이행,교차로,승합차,보행자,128.1987786,37.10426206,1.0
2019,1,19,20,야,토,경기,차대사람,신호위반,교차로,이륜차,보행자,126.800115,37.43728071,1.7
2019,1,19,22,야,토,경기,차대사람,안전운전 의무 불이행,교차로,승용차,보행자,126.8483917,37.32785108,1.0
2019,1,20,1,야,일,경기,차대차,안전운전 의무 불이행,단일로,승용차,특수차,127.2485617,37.40093013,2.4
2019,1,20,2,야,일,강원,차대사람,안전운전 의무 불이행,교차로,승용차,보행자,128.5775851,38.20487899,1.0
2019,1,20,6,주,일,경북,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,128.7884637,36.43902645,1.0
2019,1,20,6,주,일,경기,차량단독,안전운전 의무 불이행,교차로,승용차,없음,127.0574089,38.02918887,1.0
2019,1,20,8,주,일,인천,차대차,안전운전 의무 불이행,단일로,승용차,승합차,126.4943951,37.49298582,2.9
2019,1,20,9,주,일,제주,차대차,신호위반,교차로,이륜차,화물차,126.2528274,33.22829208,1.0
2019,1,20,11,주,일,충북,차대사람,안전운전 의무 불이행,교차로,승용차,보행자,127.9319522,36.98710459,1.0
2019,1,20,17,주,일,충남,차대차,안전운전 의무 불이행,단일로,화물차,화물차,126.7823924,36.94420169,1.3
2019,1,20,21,야,일,대구,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,128.5598599,35.88821824,1.0
2019,1,20,23,야,일,경남,차대차,안전운전 의무 불이행,단일로,승용차,화물차,127.7375494,35.53412464,3.5
2019,1,21,0,야,월,서울,차대차,신호위반,교차로,승용차,이륜차,126.856289,37.48810305,1.0
2019,1,21,6,주,월,경기,차대사람,안전운전 의무 불이행,단일로,화물차,보행자,126.8729857,37.47310415,1.0
2019,1,21,9,주,월,충남,차대차,기타,교차로,승합차,원동기장치자전거,126.6955771,36.07581587,1.0
2019,1,21,12,주,월,서울,차대사람,보행자 보호의무 위반,기타,화물차,보행자,126.8871526,37.47216896,1.0
2019,1,21,13,주,월,충북,차대차,안전운전 의무 불이행,단일로,화물차,이륜차,127.6049112,37.03747741,1.0
2019,1,21,18,야,월,충남,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,127.5167269,36.02935076,1.0
2019,1,22,0,야,화,경기,차량단독,과속,단일로,승용차,없음,127.1892206,37.55143449,1.0
2019,1,22,0,야,화,경기,차량단독,안전운전 의무 불이행,단일로,이륜차,없음,127.0368653,37.24027635,1.0
2019,1,22,1,야,화,강원,차량단독,안전운전 의무 불이행,단일로,승용차,없음,127.6151268,37.83085027,1.7
2019,1,22,5,야,화,경기,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,127.122182,37.41104079,1.0
2019,1,22,6,주,화,대구,차대사람,안전운전 의무 불이행,단일로,화물차,보행자,128.5605031,35.92895404,1.0
2019,1,22,6,주,화,경기,차대사람,안전운전 의무 불이행,교차로,승합차,보행자,127.0698225,37.75269794,1.0
2019,1,22,7,주,화,경기,차대사람,신호위반,교차로,승합차,보행자,127.1038852,37.34271941,1.0
2019,1,22,8,주,화,전남,차대차,중앙선 침범,단일로,승용차,건설기계,126.7481478,34.94418119,1.3
2019,1,22,8,주,화,경북,차대사람,안전운전 의무 불이행,교차로,화물차,보행자,128.61788,36.82333886,1.0
2019,1,22,13,주,화,서울,차대차,안전운전 의무 불이행,단일로,이륜차,화물차,127.0372747,37.50813147,1.7
2019,1,22,16,주,화,강원,차량단독,안전운전 의무 불이행,단일로,화물차,없음,128.4719677,37.18624641,1.0
2019,1,22,17,주,화,강원,차량단독,안전운전 의무 불이행,교차로,승용차,없음,127.9967096,38.09093519,1.7
2019,1,22,21,야,화,서울,차대사람,안전운전 의무 불이행,교차로,승용차,보행자,126.9086534,37.45106862,1.0
2019,1,23,3,야,수,서울,차대사람,안전운전 의무 불이행,단일로,화물차,보행자,126.9987214,37.58993392,1.0
2019,1,23,5,야,수,경기,차대차,안전운전 의무 불이행,교차로,승용차,이륜차,126.9698361,37.29052728,1.0
2019,1,23,7,주,수,경기,차대사람,신호위반,단일로,승용차,보행자,127.126761,37.43331024,1.0
2019,1,23,12,주,수,경남,차량단독,안전운전 의무 불이행,단일로,사륜오토바이(ATV),없음,128.5377631,35.37091864,1.0
2019,1,23,13,주,수,전북,차량단독,안전거리 미확보,교차로,자전거,없음,127.1985574,36.03597838,1.0
2019,1,23,15,주,수,경남,차대사람,보행자 보호의무 위반,단일로,승용차,보행자,129.0256816,35.3318702,1.0
2019,1,23,16,주,수,강원,차대차,교차로 통행방법 위반,단일로,화물차,이륜차,127.9118301,37.36129734,1.0
2019,1,23,23,야,수,경북,차대차,중앙선 침범,단일로,화물차,이륜차,128.8217345,36.7073001,1.0
2019,1,24,0,야,목,서울,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,127.0436045,37.55377364,1.0
2019,1,24,4,야,목,경기,차대사람,안전운전 의무 불이행,교차로,승용차,보행자,127.1389784,37.44305596,1.0
2019,1,24,7,주,목,부산,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,129.0083422,35.21089492,1.0
2019,1,24,9,주,목,경북,차대차,안전운전 의무 불이행,교차로,건설기계,이륜차,128.1866891,36.37470579,1.0
2019,1,24,13,주,목,전남,차량단독,안전운전 의무 불이행,단일로,화물차,없음,126.5629451,34.41821123,1.0
2019,1,24,14,주,목,부산,차대차,신호위반,교차로,이륜차,승용차,128.9908318,35.18449627,1.0
2019,1,24,14,주,목,전남,차대차,안전운전 의무 불이행,단일로,건설기계,원동기장치자전거,126.769458,34.62813057,1.0
2019,1,24,15,주,목,전남,차량단독,기타,교차로,화물차,없음,126.6805987,35.08959591,1.0
2019,1,24,18,야,목,전남,차대사람,안전운전 의무 불이행,단일로,건설기계,보행자,127.1555755,34.77804898,1.0
2019,1,24,20,야,목,강원,차대차,안전거리 미확보,단일로,화물차,승용차,129.1889996,37.42460034,6.1
2019,1,24,21,야,목,대전,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,127.4213792,36.37726656,1.0
2019,1,24,23,야,목,인천,차대사람,안전운전 의무 불이행,기타,승용차,보행자,126.6820472,37.46394889,1.0
2019,1,25,2,야,금,대구,차대차,안전운전 의무 불이행,단일로,승용차,화물차,128.4411451,35.65059236,2.3
2019,1,25,2,야,금,경북,차량단독,안전운전 의무 불이행,단일로,승용차,없음,128.9262776,35.90326735,1.0
2019,1,25,4,야,금,서울,차량단독,안전운전 의무 불이행,단일로,이륜차,없음,127.049512,37.68749225,1.7
2019,1,25,5,야,금,인천,차대사람,안전운전 의무 불이행,단일로,화물차,보행자,126.7240619,37.40234702,1.0
2019,1,25,7,주,금,강원,차대차,안전운전 의무 불이행,단일로,화물차,건설기계,128.1840842,38.07487062,1.7
2019,1,25,10,주,금,경남,차대차,안전운전 의무 불이행,단일로,화물차,승용차,128.0882864,35.191586,1.3
2019,1,25,15,주,금,경기,차대차,중앙선 침범,단일로,원동기장치자전거,승용차,127.482578,37.15445579,1.3
2019,1,25,18,야,금,경북,차대사람,과속,단일로,승용차,보행자,128.7266564,36.56013042,1.0
2019,1,25,18,야,금,경남,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,128.4245033,35.28028413,1.0
2019,1,25,19,야,금,제주,차대사람,안전운전 의무 불이행,교차로,승용차,보행자,126.8736052,33.37674771,1.7
2019,1,25,23,야,금,서울,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,127.0349488,37.65119311,1.0
2019,1,25,23,야,금,전북,차대차,과속,단일로,승용차,승용차,127.0852062,36.05606966,2.4
2019,1,26,0,야,토,경기,차대사람,안전운전 의무 불이행,단일로,화물차,보행자,126.9341427,37.35942588,1.0
2019,1,26,2,야,토,강원,차대차,안전운전 의무 불이행,단일로,승용차,승용차,127.9118651,37.36151354,2.7
2019,1,26,8,주,토,부산,차량단독,안전운전 의무 불이행,단일로,이륜차,없음,129.1308884,35.21814056,1.0
2019,1,26,9,주,토,전남,차대사람,안전운전 의무 불이행,교차로,승합차,보행자,126.501891,35.27596542,1.0
2019,1,26,11,주,토,경북,차량단독,안전운전 의무 불이행,단일로,승용차,없음,129.0377361,36.6758969,1.0
2019,1,26,14,주,토,경기,차대차,신호위반,교차로,승용차,화물차,126.8870665,37.67059904,1.7
2019,1,27,3,야,일,경기,차대차,안전운전 의무 불이행,단일로,승용차,화물차,126.89732,37.3013484,1.0
2019,1,27,5,야,일,경기,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,126.8018217,37.22873081,1.0
2019,1,27,6,주,일,대전,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,127.3653008,36.35812191,1.0
2019,1,28,7,주,월,충북,차량단독,안전운전 의무 불이행,단일로,화물차,없음,127.7303896,36.20353122,1.7
